Frame_ID,Timestamp,Class,Confidence,x1,y1,x2,y2
23,2026-01-05 11:15:55,car,0.810696005821228,0,329,84,459
23,2026-01-05 11:15:55,train,0.6856346726417542,287,138,318,201
23,2026-01-05 11:15:55,car,0.537846565246582,141,52,162,80
24,2026-01-05 11:15:55,car,0.7404165863990784,0,341,78,474
24,2026-01-05 11:15:55,train,0.6833115816116333,287,140,318,202
24,2026-01-05 11:15:55,car,0.642763614654541,166,88,192,123
24,2026-01-05 11:15:55,car,0.5588303804397583,141,52,162,80
25,2026-01-05 11:15:55,car,0.5856949090957642,165,90,192,125
25,2026-01-05 11:15:55,car,0.5820990204811096,180,35,198,55
25,2026-01-05 11:15:55,train,0.5789687037467957,287,140,319,203
25,2026-01-05 11:15:55,car,0.5687386989593506,141,52,162,80
26,2026-01-05 11:15:55,car,0.6402556896209717,165,92,191,128
26,2026-01-05 11:15:55,car,0.6294341683387756,0,364,64,477
26,2026-01-05 11:15:55,car,0.6020125150680542,140,53,162,81
26,2026-01-05 11:15:55,train,0.5583279728889465,287,140,319,203
26,2026-01-05 11:15:55,car,0.5298303961753845,179,36,198,55
27,2026-01-05 11:15:55,car,0.6222915053367615,164,95,191,132
27,2026-01-05 11:15:55,car,0.6202974915504456,0,377,57,477
27,2026-01-05 11:15:55,car,0.6188753843307495,141,52,162,80
27,2026-01-05 11:15:55,train,0.5288452506065369,287,140,319,204
28,2026-01-05 11:15:55,car,0.6225505471229553,141,52,162,80
28,2026-01-05 11:15:55,train,0.5670173168182373,287,144,319,205
28,2026-01-05 11:15:55,car,0.5477937459945679,162,98,189,135
28,2026-01-05 11:15:55,car,0.5164201259613037,201,15,215,31
29,2026-01-05 11:15:55,car,0.6178632974624634,141,52,162,81
29,2026-01-05 11:15:55,train,0.5819418430328369,287,145,319,205
29,2026-01-05 11:15:55,car,0.570123016834259,161,102,190,137
30,2026-01-05 11:15:55,car,0.6287587881088257,141,52,162,81
30,2026-01-05 11:15:55,train,0.5227072834968567,287,147,319,206
31,2026-01-05 11:15:56,car,0.6300918459892273,141,52,162,81
31,2026-01-05 11:15:56,car,0.5845152139663696,159,108,188,144
32,2026-01-05 11:15:56,car,0.61381995677948,141,54,162,81
32,2026-01-05 11:15:56,car,0.5962278842926025,156,109,186,148
33,2026-01-05 11:15:56,car,0.6261335611343384,141,54,162,81
33,2026-01-05 11:15:56,car,0.6208945512771606,180,44,199,64
33,2026-01-05 11:15:56,car,0.604234516620636,202,19,216,35
33,2026-01-05 11:15:56,car,0.5120834708213806,156,114,185,151
34,2026-01-05 11:15:56,car,0.6403319835662842,141,54,162,81
34,2026-01-05 11:15:56,car,0.5741033554077148,155,113,184,154
34,2026-01-05 11:15:56,car,0.5497882962226868,201,19,216,36
34,2026-01-05 11:15:56,car,0.5056250095367432,180,45,199,66
35,2026-01-05 11:15:56,car,0.642620325088501,154,114,183,158
35,2026-01-05 11:15:56,car,0.6272668242454529,180,47,199,67
35,2026-01-05 11:15:56,car,0.6260027885437012,141,54,162,81
35,2026-01-05 11:15:56,car,0.5683972835540771,201,19,216,36
36,2026-01-05 11:15:56,car,0.6495009660720825,141,54,162,81
36,2026-01-05 11:15:56,car,0.6460233330726624,152,118,183,162
36,2026-01-05 11:15:56,car,0.6452455520629883,179,47,199,69
36,2026-01-05 11:15:56,car,0.5097407102584839,201,19,216,37
37,2026-01-05 11:15:56,car,0.6962051391601562,150,126,181,165
37,2026-01-05 11:15:56,car,0.6508277654647827,141,54,162,82
37,2026-01-05 11:15:56,car,0.5668894052505493,179,49,199,71
38,2026-01-05 11:15:56,car,0.7216984629631042,179,50,199,72
38,2026-01-05 11:15:56,car,0.6933147311210632,149,127,179,170
38,2026-01-05 11:15:56,car,0.6664860844612122,141,54,161,82
38,2026-01-05 11:15:56,car,0.563784658908844,202,20,217,39
39,2026-01-05 11:15:56,car,0.7657825946807861,180,51,199,74
39,2026-01-05 11:15:56,car,0.7368543148040771,559,218,606,259
39,2026-01-05 11:15:56,car,0.6843765377998352,141,54,161,82
39,2026-01-05 11:15:56,car,0.5853559970855713,147,128,179,174
39,2026-01-05 11:15:56,car,0.585195779800415,203,21,217,39
40,2026-01-05 11:15:56,car,0.8031822443008423,180,52,199,75
40,2026-01-05 11:15:56,car,0.7660785913467407,555,222,604,263
40,2026-01-05 11:15:56,car,0.6731575727462769,141,54,162,82
40,2026-01-05 11:15:56,train,0.5146556496620178,287,153,320,215
41,2026-01-05 11:15:56,car,0.8023287653923035,179,55,199,76
41,2026-01-05 11:15:56,car,0.7895376086235046,551,208,605,267
41,2026-01-05 11:15:56,car,0.6800954937934875,141,54,162,82
41,2026-01-05 11:15:56,train,0.5340890884399414,288,153,320,216
41,2026-01-05 11:15:56,car,0.5147104263305664,141,134,178,184
42,2026-01-05 11:15:57,car,0.7084301710128784,179,56,199,78
42,2026-01-05 11:15:57,car,0.6756023168563843,548,209,605,271
42,2026-01-05 11:15:57,car,0.6344286203384399,141,54,162,82
42,2026-01-05 11:15:57,train,0.5032995343208313,288,153,320,217
43,2026-01-05 11:15:57,car,0.7246205806732178,544,210,605,275
43,2026-01-05 11:15:57,car,0.7242954969406128,179,56,199,81
43,2026-01-05 11:15:57,car,0.6275843977928162,141,54,162,82
43,2026-01-05 11:15:57,car,0.5298445224761963,138,140,176,194
43,2026-01-05 11:15:57,train,0.5161018967628479,288,154,321,218
44,2026-01-05 11:15:57,car,0.7170097827911377,541,209,605,278
44,2026-01-05 11:15:57,train,0.660844624042511,114,267,187,386
44,2026-01-05 11:15:57,car,0.6154388189315796,141,54,162,82
44,2026-01-05 11:15:57,car,0.5874850749969482,179,58,199,82
45,2026-01-05 11:15:57,car,0.6872456073760986,537,216,604,283
45,2026-01-05 11:15:57,car,0.6079691648483276,141,54,162,82
45,2026-01-05 11:15:57,train,0.5465254187583923,288,155,321,219
45,2026-01-05 11:15:57,car,0.5420515537261963,179,59,199,84
46,2026-01-05 11:15:57,car,0.6529138684272766,533,209,603,288
46,2026-01-05 11:15:57,car,0.6391531229019165,141,54,162,83
46,2026-01-05 11:15:57,train,0.5937871336936951,288,155,321,220
46,2026-01-05 11:15:57,car,0.5708775520324707,179,61,199,85
47,2026-01-05 11:15:57,car,0.7498106360435486,530,212,601,292
47,2026-01-05 11:15:57,car,0.7257571816444397,178,64,200,87
47,2026-01-05 11:15:57,car,0.6348634362220764,141,55,162,83
47,2026-01-05 11:15:57,train,0.5838090181350708,288,156,321,221
47,2026-01-05 11:15:57,car,0.5401450395584106,203,28,218,47
47,2026-01-05 11:15:57,car,0.5222602486610413,125,155,170,217
47,2026-01-05 11:15:57,train,0.5084394216537476,96,291,177,430
